67;0

66;1

67;2

69;4

67;5

70;6

67;7

69;9

66;10

67;11

71;12

67;14

70;15

67;16

67;18

69;20

71;26

71;32

69;38

69;46

67;52

71;58

68;64

67;70

68;76

68;82

71;89

71;95

67;101

66;109

70;116

68;123

71;131

68;138

66;145

71;152

68;159

69;166

66;175

69;182

70;189

68;196

70;203

69;210

71;218

68;225

69;232

68;240

71;247

70;254

69;262

70;269

70;276

68;283

66;290

71;297

68;305

70;313

70;320

69;327

70;334

71;342

66;349

68;356

70;363

66;370

71;378

68;386

67;393

70;400

67;407

66;414

70;421

69;429

67;436

68;444

69;451

66;458

71;465

68;473

68;480

71;487

69;494

71;501

